Creation_Date,SONumber,Customer_PO,CustomerCode,CustomerName,PN,IndustrialStandard,Description,客户物料编号,Description2,DeliveryDate,销售员姓名,UnmetQuantity
9/14/2022,10033240,HWHG1015550-12,100023,华为技术有限公司,500-4640,TR-FC13T-N4T,"40G QSFP+ IR4 V3(CWDM4 Pla_Ocl,GCS)HT",34061726,40G QSFP+ IR4,12/5/2022,严冰艾,970.000
9/14/2022,10033240,HWHG1015550-12,100023,华为技术有限公司,500-4640,TR-FC13T-N4T,"40G QSFP+ IR4 V3(CWDM4 Pla_Ocl,GCS)HT",34061726,40G QSFP+ IR4,12/8/2022,严冰艾,1170.000
9/14/2022,10033240,HWHG1015550-12,100023,华为技术有限公司,500-4640,TR-FC13T-N4T,"40G QSFP+ IR4 V3(CWDM4 Pla_Ocl,GCS)HT",34061726,40G QSFP+ IR4,12/22/2022,严冰艾,1110.000
9/14/2022,10033240,HWHG1015550-12,100023,华为技术有限公司,500-4640,TR-FC13T-N4T,"40G QSFP+ IR4 V3(CWDM4 Pla_Ocl,GCS)HT",34061726,40G QSFP+ IR4,1/5/2023,严冰艾,700.000
9/14/2022,10033240,HWHG1015550-12,100023,华为技术有限公司,500-4640,TR-FC13T-N4T,"40G QSFP+ IR4 V3(CWDM4 Pla_Ocl,GCS)HT",34061726,40G QSFP+ IR4,1/19/2023,严冰艾,700.000
9/14/2022,10033240,HWHG1015550-12,100023,华为技术有限公司,500-4640,TR-FC13T-N4T,"40G QSFP+ IR4 V3(CWDM4 Pla_Ocl,GCS)HT",34061726,40G QSFP+ IR4,2/2/2023,严冰艾,780.000
4/10/2023,10035242,HWHG2381441-3,100023,华为技术有限公司,500-4640,TR-FC13T-N4T,"40G QSFP+ IR4 V3(CWDM4 Pla_Ocl,GCS)HT",34061726,40G QSFP+ IR4,9/8/2023,严冰艾,110.000
5/11/2023,10035601,0085071224,200474,Cloud Network Technology Singapore Pte.Ltd,500-4066-02,TR-QQ13L-NJP,40G QSFP+ LR4 V3.0(CWDM4 Plat_Ocl DFB)JP,740-073093,40G QSFP+ LR4,6/2/2023,莫兆熊,40.000
6/12/2023,10035922,5100002608,200474,Cloud Network Technology Singapore Pte.Ltd,500-4066-02,TR-QQ13L-NJP,40G QSFP+ LR4 V3.0(CWDM4 Plat_Ocl DFB)JP,740-073093,40G QSFP+ LR4,9/15/2023,莫兆熊,40.000
6/16/2023,10035981,5100002634,200474,Cloud Network Technology Singapore Pte.Ltd,500-4066-02,TR-QQ13L-NJP,40G QSFP+ LR4 V3.0(CWDM4 Plat_Ocl DFB)JP,740-073093,40G QSFP+ LR4,9/9/2023,莫兆熊,30.000
