substitution group,Priority,Usage percentage,component,Assemble P/N
B1,0,0,280-1241-35,504-1285
A1,0,100,286-0018-35,280-1241-35
A1,0,0,284-0051-35,280-1241-35
B1,0,0,280-1242-35,504-1285
B1,0,100,280-1241-40,504-1285
A1,0,0,284-0051-40,280-1241-40
A1,0,100,284-0089-40,280-1241-40
A1,0,0,284-0001-35,280-1241-40
A1,0,0,284-0001-40,280-1241-40
A1,0,0,286-0057-40,280-1241-40
B1,0,0,280-1242-40,504-1285
B1,0,0,120-0128,504-1746
B1,0,100,120-0215,504-1746
A1,0,0,140-0253,504-1746
A1,0,100,140-0645,504-1746
D1,0,0,280-0654,504-1285
D1,0,100,280-0654-CN,504-1285
E1,0,0,310-0395,504-1285
E1,0,100,313-0010,504-1285
B1,0,0,310-0323,502-1476
B1,0,100,302-0004,502-1476
E1,0,0,310-0369,502-1476
E1,0,100,311-0183,502-1476
A1,0,100,504-1291,502-1478
A1,0,100,280-0025-02,504-1291
A1,0,0,280-0025-45,504-1291
E1,0,0,310-0395,504-1291
E1,0,100,313-0010,504-1291
A1,0,0,504-1338,502-1478
A1,0,100,280-0025-02,504-1338
A1,0,0,280-0025-45,504-1338
D1,0,0,280-0654,504-1338
D1,0,100,280-0654-CN,504-1338
E1,0,0,310-0395,504-1338
E1,0,100,313-0010,504-1338
B1,0,0,310-0323,502-1478
B1,0,100,302-0004,502-1478
E1,0,0,310-0369,502-1478
E1,0,100,311-0183,502-1478
A1,0,0,262-0015,502-1621
B1,0,100,280-1241-40,262-0015
B1,0,0,280-1242-40,262-0015
C1,2,0,100-0142,504-1694
C1,1,100,100-0365,504-1694
A1,1,100,110-0296,504-1694
A1,2,0,110-0312,504-1694
B1,2,0,120-0128,504-1694
B1,1,100,120-0215,504-1694
D1,3,0,140-0313,504-1694
D1,2,0,140-0628,504-1694
D1,1,100,140-0834,504-1694
E1,0,0,310-0395,262-0015
E1,0,100,313-0010,262-0015
C1,0,100,300-0141,502-1621
C1,0,0,300-0141-R,502-1621
D1,0,100,310-0505,502-1621
D1,0,0,310-0505-R,502-1621
A1,0,0,504-1570,502-1621
A1,0,0,504-1354,504-1570
A1,0,100,110-0296,504-1354
A1,0,0,110-0312,504-1354
A1,0,0,504-1431,504-1570
A1,0,100,110-0296,504-1431
A1,0,0,110-0312,504-1431
A1,0,100,504-1694,504-1570
B1,0,0,280-1241-35,504-1570
B1,0,100,280-1241-40,504-1570
D1,0,0,280-0654,504-1570
D1,0,100,280-0654-CN,504-1570
E1,0,0,310-0395,504-1570
E1,0,100,313-0010,504-1570
E1,0,0,310-0369,502-1621
E1,0,100,311-0183,502-1621
A1,0,100,504-1521,502-1621
B1,0,100,280-1587-20,504-1521
A1,0,100,286-0057-20,280-1587-20
A1,0,0,284-0084-20,280-1587-20
A1,0,0,284-0085-20,280-1587-20
A1,0,0,284-0089-20,280-1587-20
B1,0,0,280-1241-20,504-1521
A1,0,0,286-0018-20,280-1241-20
A1,0,100,284-0001-20,280-1241-20
A1,0,0,284-0051-20,280-1241-20
A1,0,0,284-0089-20,280-1241-20
A1,0,0,504-1354,504-1521
A1,0,0,504-1431,504-1521
A1,0,100,504-1694,504-1521
E1,0,0,310-0395,504-1521
E1,0,100,313-0010,504-1521
A1,0,0,502-1547,500-3190
A1,2,0,504-1360,502-1547
B1,0,0,280-1241-35,504-1360
B1,0,0,280-1242-35,504-1360
A1,0,0,504-1354,504-1360
A1,0,0,504-1431,504-1360
A1,0,100,504-1694,504-1360
B1,0,100,280-1241-40,504-1360
B1,0,0,280-1242-40,504-1360
D1,0,0,280-0654,504-1360
D1,0,100,280-0654-CN,504-1360
E1,0,0,310-0395,504-1360
E1,0,100,313-0010,504-1360
B1,0,0,310-0323,502-1547
B1,0,100,302-0004,502-1547
E1,0,0,310-0369,502-1547
E1,0,100,311-0183,502-1547
A1,1,100,504-1521,502-1547
A1,0,0,502-1542,500-3190
B1,0,0,280-1241-35,504-1357
B1,0,0,280-1242-35,504-1357
A1,0,0,504-1354,504-1357
A1,0,0,504-1431,504-1357
A1,0,100,504-1694,504-1357
B1,0,100,280-1241-40,504-1357
B1,0,0,280-1242-40,504-1357
D1,0,0,280-0654,504-1357
D1,0,100,280-0654-CN,504-1357
E1,0,0,310-0395,504-1357
E1,0,100,313-0010,504-1357
B1,0,0,310-0323,502-1542
B1,0,100,302-0004,502-1542
E1,0,0,310-0369,502-1542
E1,0,100,311-0183,502-1542
A1,0,100,502-1642,500-3190
B1,0,0,310-0323,502-1642
B1,0,100,302-0004,502-1642
A1,0,0,262-0012,502-1642
B1,0,100,280-1241-40,262-0012
B1,0,0,280-1242-40,262-0012
E1,0,0,310-0395,262-0012
E1,0,100,313-0010,262-0012
A1,0,100,262-0015,502-1642
A1,0,0,504-1392,502-1642
B1,0,0,280-1241-35,504-1392
B1,0,0,280-1242-35,504-1392
A1,0,0,504-1354,504-1392
A1,0,0,504-1431,504-1392
A1,0,100,504-1694,504-1392
B1,0,100,280-1241-40,504-1392
B1,0,0,280-1242-40,504-1392
E1,0,0,310-0395,504-1392
E1,0,100,313-0010,504-1392
A1,0,0,504-1403,502-1642
B1,0,0,280-1241-35,504-1403
B1,0,100,280-1241-40,504-1403
A1,0,0,504-1431,504-1403
A1,0,100,504-1694,504-1403
E1,0,0,310-0395,504-1403
E1,0,100,313-0010,504-1403
E1,0,0,310-0369,502-1642
E1,0,100,311-0183,502-1642
A1,0,0,502-1542,500-3209
A1,0,0,502-1547,500-3209
A1,0,0,502-1795,500-3209
B1,0,0,280-1241-35,504-1485
B1,0,0,280-1242-35,504-1485
A1,0,0,504-1354,504-1485
A1,0,0,504-1431,504-1485
A1,0,100,504-1694,504-1485
B1,0,100,280-1241-40,504-1485
B1,0,0,280-1242-40,504-1485
D1,0,0,280-0654,504-1485
D1,0,100,280-0654-CN,504-1485
E1,0,0,310-0395,504-1485
E1,0,100,313-0010,504-1485
B1,0,0,310-0323,502-1795
B1,0,100,302-0004,502-1795
E1,0,0,310-0369,502-1795
E1,0,100,311-0183,502-1795
A1,0,0,502-1796,500-3209
B1,0,0,280-1241-35,504-1486
B1,0,0,280-1242-35,504-1486
A1,0,0,504-1354,504-1486
A1,0,0,504-1431,504-1486
A1,0,100,504-1694,504-1486
B1,0,100,280-1241-40,504-1486
B1,0,0,280-1242-40,504-1486
D1,0,0,280-0654,504-1486
D1,0,100,280-0654-CN,504-1486
E1,0,0,310-0395,504-1486
E1,0,100,313-0010,504-1486
B1,0,0,310-0323,502-1796
B1,0,100,302-0004,502-1796
E1,0,0,310-0369,502-1796
E1,0,100,311-0183,502-1796
A1,0,0,502-1797,500-3209
B1,0,0,280-1241-35,504-1487
B1,0,0,280-1242-35,504-1487
A1,0,0,504-1354,504-1487
A1,0,0,504-1431,504-1487
A1,0,100,504-1694,504-1487
B1,0,100,280-1241-40,504-1487
B1,0,0,280-1242-40,504-1487
D1,0,0,280-0654,504-1487
D1,0,100,280-0654-CN,504-1487
E1,0,0,310-0395,504-1487
E1,0,100,313-0010,504-1487
B1,0,0,310-0323,502-1797
B1,0,100,302-0004,502-1797
E1,0,0,310-0369,502-1797
E1,0,100,311-0183,502-1797
A1,0,100,502-1642,500-3209
A1,0,0,280-1242-40,504-1749
A1,0,0,280-1242-35,504-1749
A1,0,0,280-1241-35,504-1749
A1,0,100,280-1241-40,504-1749
D1,0,0,280-0654,504-1749
D1,0,100,280-0654-CN,504-1749
E1,0,0,310-0395,504-1749
E1,0,100,313-0010,504-1749
A1,0,100,310-0323,502-2202
A1,0,0,302-0004,502-2202
E1,0,0,310-0369,502-2202
E1,0,100,311-0183,502-2202
A1,0,0,502-1547,500-3245
A1,0,100,502-1642,500-3245
A1,0,0,502-1547,500-3261
A1,0,100,502-1642,500-3261
A1,0,0,502-1547,500-3287
A1,0,100,502-1642,500-3287
A1,0,0,502-1547,500-3292
A1,0,100,502-1642,500-3292
A1,0,0,502-1547,500-3335
A1,0,100,502-1642,500-3335
A1,0,0,502-1542,500-3344
A1,0,0,502-1547,500-3344
A1,0,0,502-1795,500-3344
A1,0,0,502-1796,500-3344
A1,0,0,502-1797,500-3344
A1,0,0,502-1642,500-3344
A1,0,100,502-3233,500-3344
A1,1,100,262-0169-CD,502-3233
B1,3,0,280-1241-20,262-0169-CD
B1,2,0,280-1587-20,262-0169-CD
B1,1,100,280-1916-CD,262-0169-CD
B1,2,0,320-0328,280-1916-CD
B1,1,100,321-0055,280-1916-CD
E1,2,0,310-0395,262-0169-CD
E1,1,100,313-0010,262-0169-CD
A1,2,0,504-1354,262-0169-CD
A1,3,0,504-1431,262-0169-CD
A1,1,100,504-1694,262-0169-CD
B1,1,100,302-0004,502-3233
B1,2,0,310-0323,502-3233
E1,2,0,310-0369,502-3233
E1,1,100,311-0183,502-3233
A1,2,0,504-1521,502-3233
A1,0,0,502-1547,500-3347
A1,0,100,502-1642,500-3347
A1,0,0,502-1547,500-3385
A1,0,100,502-1642,500-3385
A1,0,0,502-1547,500-3387
A1,0,100,502-1642,500-3387
A1,0,0,502-1547,500-3411
A1,0,100,502-1642,500-3411
A1,0,0,504-1354,504-1579
A1,0,0,504-1431,504-1579
A1,0,100,504-1694,504-1579
B1,0,0,280-1241-35,504-1579
B1,0,100,280-1241-40,504-1579
D1,0,0,280-0654,504-1579
D1,0,100,280-0654-CN,504-1579
E1,0,0,310-0395,504-1579
E1,0,100,313-0010,504-1579
B1,0,0,310-0323,502-1606
B1,0,100,302-0004,502-1606
E1,0,0,310-0369,502-1606
E1,0,100,311-0183,502-1606
A1,1,100,351-0009,500-3425
A1,4,0,351-0011,500-3425
A1,3,0,351-0012,500-3425
A1,2,0,351-0013,500-3425
A1,0,0,502-1547,500-3451
A1,0,100,502-1642,500-3451
A1,0,0,262-0012,502-2391
A1,0,0,262-0015,502-2391
A1,0,100,504-1392,502-2391
A1,0,0,504-1403,502-2391
E1,0,0,310-0369,502-2391
E1,0,100,311-0183,502-2391
A1,0,0,502-1547,500-3508
A1,0,100,502-1642,500-3508
A1,0,0,502-1547,500-3519
A1,0,100,502-1642,500-3519
B1,0,0,280-1241-35,504-1571
B1,0,0,280-1242-35,504-1571
A1,0,0,504-1354,504-1571
A1,0,0,504-1431,504-1571
A1,0,100,504-1694,504-1571
B1,0,100,280-1241-40,504-1571
B1,0,0,280-1242-40,504-1571
D1,0,0,280-0654,504-1571
D1,0,100,280-0654-CN,504-1571
E1,0,0,310-0395,504-1571
E1,0,100,313-0010,504-1571
E1,0,0,310-0369,502-1696
E1,0,100,311-0183,502-1696
A1,0,0,502-1547,500-3664
A1,0,100,502-1642,500-3664
B1,0,0,310-0323,502-1832
B1,0,100,302-0004,502-1832
E1,0,0,310-0369,502-1832
E1,0,100,311-0183,502-1832
A1,1,100,351-0009,500-3783
A1,4,0,351-0011,500-3783
A1,3,0,351-0012,500-3783
A1,2,0,351-0013,500-3783
A1,0,100,502-1547,500-3784
A1,0,0,502-1642,500-3784
A1,0,0,502-1542,500-3784
A1,0,0,502-1795,500-3784
A1,0,0,502-1796,500-3784
A1,0,0,502-1797,500-3784
A1,0,0,502-1547,500-3786
A1,0,100,502-1642,500-3786
A1,0,0,502-1542,500-3786
A1,0,0,502-1547,500-3803
A1,0,100,502-1642,500-3803
A1,0,0,502-1542,500-3803
A1,0,0,502-1547,500-3884
A1,0,100,502-1642,500-3884
C1,0,0,502-1547,500-3888
C1,0,100,502-1642,500-3888
A1,0,0,502-1547,500-4005
A1,0,0,502-1542,500-4005
A1,0,100,502-1642,500-4005
B1,0,0,280-1241-20,504-1560
B1,0,0,280-1455-40,504-1560
A1,0,0,284-0085-40,280-1455-40
A1,0,0,284-0089-40,280-1455-40
A1,0,100,284-0001-40,280-1455-40
A1,0,0,286-0057-40,280-1455-40
B1,0,100,280-1241-40,504-1560
B1,0,0,280-1455-20,504-1560
A1,0,100,286-0057-20,280-1455-20
A1,0,0,284-0084-20,280-1455-20
A1,0,0,284-0085-20,280-1455-20
A1,0,0,284-0089-20,280-1455-20
B1,0,0,284-0001-35,504-1560
E1,0,0,310-0395,504-1560
E1,0,100,313-0010,504-1560
A1,0,0,310-0323,502-1899
A1,0,100,302-0004,502-1899
E1,0,0,310-0369,502-1899
E1,0,100,311-0183,502-1899
A1,0,0,502-1547,500-4115
A1,0,0,502-1642,500-4115
A1,0,0,502-1542,500-4115
A1,0,0,502-1795,500-4115
A1,0,0,502-1796,500-4115
A1,0,100,502-1797,500-4115
A1,0,0,502-1547,500-4125
A1,0,0,502-1542,500-4125
A1,0,0,502-1795,500-4125
A1,0,0,502-1796,500-4125
A1,0,0,502-1797,500-4125
A1,0,100,502-1642,500-4125
A1,0,0,502-1547,500-4188
A1,0,100,502-1642,500-4188
A1,0,0,502-1542,500-4188
A1,0,0,502-1795,500-4188
A1,0,0,502-1796,500-4188
A1,0,0,502-1797,500-4188
A1,0,0,502-1547,500-4191
A1,0,0,502-1542,500-4191
A1,0,100,502-1642,500-4191
A1,0,0,310-0323,502-2028
A1,0,100,302-0004,502-2028
E1,0,0,310-0369,502-2028
E1,0,100,311-0183,502-2028
C1,0,0,120-0128,504-1711
C1,0,100,120-0215,504-1711
B1,0,0,140-0253,504-1711
B1,0,100,140-0645,504-1711
A1,0,0,140-0384,504-1711
A1,0,100,130-0077,504-1711
A1,0,100,280-1241-40,504-1774
A1,0,0,280-1242-40,504-1774
A1,0,0,280-1241-35,504-1774
A1,0,0,280-1242-35,504-1774
D1,0,0,280-0654,504-1774
D1,0,100,280-0654-CN,504-1774
E1,0,0,310-0395,504-1774
E1,0,100,313-0010,504-1774
A1,0,100,310-0323,502-2246
A1,0,0,302-0004,502-2246
C1,0,100,300-0195,502-2246
C1,0,0,300-0195-R,502-2246
E1,0,0,310-0369,502-2246
E1,0,100,311-0183,502-2246
A1,0,0,502-1642,500-4619
A1,0,0,502-1542,500-4619
A1,0,0,502-1796,500-4619
A1,0,0,502-1797,500-4619
A1,0,100,502-3233,500-4619
A1,0,0,310-0323,502-2181
A1,0,100,302-0004,502-2181
C1,0,100,262-0009,502-2181
A1,0,100,280-1241-40,262-0009
A1,0,0,280-1242-40,262-0009
E1,0,0,310-0395,262-0009
E1,0,100,313-0010,262-0009
C1,0,0,504-1560,502-2181
E1,0,0,310-0369,502-2181
E1,0,100,311-0183,502-2181
A1,0,100,502-1547,500-4807
A1,0,0,502-1642,500-4807
A1,0,0,502-1542,500-4807
A1,0,0,502-1795,500-4807
A1,0,0,502-1796,500-4807
A1,0,0,502-1797,500-4807
A1,0,0,504-1794,502-2276
A1,0,0,280-1390,504-1794
A1,0,100,284-0051-35,280-1390
A1,0,0,284-0001-35,280-1390
C1,0,0,320-0328,280-1390
C1,0,100,321-0055,280-1390
A1,0,0,280-1428,504-1794
A1,0,0,284-0051-20,280-1428
A1,0,0,286-0057-20,280-1428
A1,0,0,284-0084-20,280-1428
A1,0,0,284-0085-20,280-1428
C1,0,100,320-0328,280-1428
C1,0,0,321-0055,280-1428
A1,0,100,284-0089-20,280-1428
A1,0,100,280-1475,504-1794
A1,0,0,284-0051-40,280-1475
A1,0,100,284-0089-40,280-1475
C1,0,100,320-0328,280-1475
C1,0,0,321-0055,280-1475
A1,0,0,284-0001-40,280-1475
B1,0,0,504-1718,504-1794
B1,0,100,120-0121,504-1718
C1,0,100,120-0202,504-1718
C1,0,0,120-0253,504-1718
B1,0,0,120-0254,504-1718
A1,0,100,130-0077,504-1718
D1,0,100,140-0253,504-1718
A1,0,0,140-0384,504-1718
D1,0,0,140-0645,504-1718
B1,0,100,504-1878,504-1794
B1,0,100,120-0121,504-1878
C1,0,100,120-0247,504-1878
B1,0,0,120-0260,504-1878
C1,0,0,120-0310,504-1878
A1,0,100,130-0077,504-1878
D1,0,100,140-0253,504-1878
A1,0,0,140-0384,504-1878
D1,0,0,140-0645,504-1878
E1,0,0,310-0395,504-1794
E1,0,100,313-0010,504-1794
A1,0,100,504-1974,502-2276
A1,0,0,280-1390,504-1974
A1,0,0,280-1428,504-1974
A1,0,100,280-1475,504-1974
B1,0,0,504-1718,504-1974
B1,0,100,504-1878,504-1974
E1,0,0,310-0395,504-1974
E1,0,100,313-0010,504-1974
A1,0,100,262-0028,502-2307
B1,0,0,280-0489,262-0028
B1,0,0,280-1018,262-0028
B1,0,100,280-0655,262-0028
C1,0,0,280-0654,262-0028
C1,0,100,280-0654-CN,262-0028
A1,0,0,504-1718,262-0028
A1,0,100,504-1878,262-0028
E1,0,0,310-0395,262-0028
E1,0,100,313-0010,262-0028
A1,0,0,504-1820,502-2307
A1,0,0,504-1718,504-1820
A1,0,100,504-1878,504-1820
E1,0,0,310-0395,504-1820
E1,0,100,313-0010,504-1820
A1,0,0,504-1972,502-2307
B1,0,0,280-0654,504-1972
C1,2,0,310-0395,504-1972
A1,0,100,504-1718,504-1972
A1,0,0,504-1878,504-1972
B1,0,100,280-0654-CN,504-1972
C1,1,100,313-0010,504-1972
A1,0,0,262-0016,502-2502
A1,0,0,504-1718,262-0016
A1,0,100,504-1878,262-0016
E1,0,0,310-0395,262-0016
E1,0,100,313-0010,262-0016
A1,0,0,262-0018,502-2502
A1,0,0,504-1718,262-0018
A1,0,100,504-1878,262-0018
E1,0,0,310-0395,262-0018
E1,0,100,313-0010,262-0018
A1,0,0,504-1820,502-2502
A1,0,100,504-1821,502-2502
