Plant,PN,UnconstrainedQuantity
1000,500-3816,2
1000,500-3886,1
1000,500-4066-02,0
1000,500-4393-02,1
1000,500-4516,4
1000,500-4640,11
1000,500-4752,1
1000,500-4835,266
1000,500-5282,12
1000,500-5499,679
1000,500-5500,110
1000,500-5773,1
1000,500-6448,394
1000,500-7073,1
2000,260-0141-02,3685
2000,260-0141-02-R,1319
2000,260-0152-02,1553
2000,260-0199,2595
2000,260-0199-R,502
2000,260-0325,1196
2000,260-0385,
2000,260-0443-CD,
2000,260-0459-CD,8
2000,263-0077-27-CD,448
2000,263-0077-29-CD,920
2000,263-0077-31-CD,470
2000,263-0077-33-CD,218
2000,280-1049-27,0
2000,280-1049-29,27
2000,280-1049-31,0
2000,280-1049-33,351
2000,280-1133,1314
2000,280-1159,313
2000,280-1312-27,3038
2000,280-1312-29,4027
2000,280-1312-31,4413
2000,280-1312-33,5009
2000,280-1480-27,4510
2000,280-1480-29,2926
2000,280-1480-31,3180
2000,280-1480-33,3494
2000,280-1593,239
2000,280-1595,4784
2000,280-1663,403
2000,280-1752-27-CD,3458
2000,280-1752-29-CD,3695
2000,280-1752-31-CD,3458
2000,280-1752-33-CD,3828
2000,280-1787,4287
2000,280-1806,2478
2000,280-1811,317
2000,280-1828-CD,471
2000,280-1908,0
2000,280-1909,0
2000,280-1939-CD,4478
2000,280-1940-CD,996
2000,280-1962-CD,283
2000,280-2019-CD,17701
2000,500-3776-02,47
2000,500-3886,
2000,500-3979-02,12
2000,500-4042,1
2000,500-4066-02,40
2000,500-4067-02,71
2000,500-4292,234
2000,500-4378,9
2000,500-4516,2
2000,500-4611,1173
2000,500-4639,0
2000,500-4640,
2000,500-4672,64
2000,500-4692,26
2000,500-4693,34
2000,500-4752,
2000,500-4890,876
2000,500-4957,172
2000,500-5010,3074
2000,500-5056,7
2000,500-5057,3
2000,500-5499,32
2000,500-5500,3
2000,500-5529,222
2000,500-5550,258
2000,500-5680,4332
2000,500-5773,15
2000,500-5785,2258
2000,500-5819,285
2000,500-6028,2477
2000,500-6035,19
2000,500-6266,237
2000,500-6285,2081
2000,500-6390,19
2000,500-7041,3799
2000,500-7064,
