版次,MES质检库存,PN,Description,Plant,Storage,StorageDescription,SN,UnconstrainedQuantity
,,100-0024,,2000,6010,,,1245000.000
,,100-0024,,5000,6010,,,179997.000
,,100-0025,,2000,6010,,,30000.000
,,100-0025,,5000,6010,,,29997.000
,,100-0038,,5000,6010,,,29997.000
,,100-0061,,5000,6010,,,14997.000
,,100-0062,,2000,6010,,,990000.000
,,100-0062,,5000,6010,,,74997.000
,,100-0086,,2000,6010,,,1000000.000
,,100-0086,,5000,6010,,,419994.000
,,100-0088,,2000,6010,,,90000.000
,,100-0088,,5000,6010,,,44997.000
,,100-0108,,1000,6010,,,120000.000
,,100-0108,,1000,9023,,,226.000
,,100-0116,,2000,6010,,,576000.000
,,100-0116,,5000,6010,,,127997.000
,,100-0122,,1000,6010,,,80000.000
,,100-0141,,1000,6010,,,80000.000
,,100-0143,,2000,6010,,,400000.000
,,100-0143,,5000,6010,,,39997.000
,,100-0144,,1000,9023,,,1615.000
,,100-0228,,1000,9023,,,38454.000
,,100-0265,,1000,9023,,,115320.000
,,100-0285,,1000,6010,,,3306.000
,,100-0285,,1000,9023,,,61099.000
,,101-0001,,1000,6010,,,61911.000
,,101-0001,,2000,1016,,,7664.000
,,101-0001,,2000,6010,,,189297.000
,,101-0001,,5000,1016,,,1048.000
,,101-0001,,5000,6010,,,45846.000
,,110-0001,,1000,6010,,,120000.000
,,110-0003,,1000,6010,,,20000.000
,,110-0019,,1000,6010,,,10000.000
,,110-0063,,1000,6010,,,1210000.000
,,110-0083,,1000,6010,,,130000.000
,,110-0121,,1000,6010,,,360000.000
,,110-0172,,1000,9023,,,43153.000
,,110-0214,,1000,6010,,,110000.000
,,110-0284,,1000,1016,,,1265.000
,,110-0284,,1000,6010,,,30000.000
,,110-0284,,1000,7010,,,66000.000
,,110-0284,,2000,1016,,,6359.000
,,110-0296,,1000,9023,,,4984.000
,,110-0308,,1000,6010,,,10000.000
,,110-0375,,1000,6010,,,20000.000
,,110-0375,,1000,9023,,,132588.000
,,110-0379,,1000,6010,,,20000.000
,,110-0570,,1000,7010,,,130000.000
,,110-0603,,1000,6010,,,370000.000
,,110-0627,,2000,7010,,,10000.000
,,110-0730,,1000,7010,,,10000.000
,,120-0029,,1000,9023,,,4739.000
,,120-0100,,1000,6010,,,22000.000
,,120-0120,,1000,6010,,,14000.000
