版次,MES质检库存,PN,Description,Plant,Storage,StorageDescription,SN,UnconstrainedQuantity
1A,0,300-0316,"Housing Body,COST DOWN",2000,1010,10G原材料仓,2412600219,600
1A,0,300-0316,"Housing Body,COST DOWN",2000,1010,10G原材料仓,2412900141,300
,,,,,1010,,,900
1A,0,101-0001,"WB Capacitor,220pF,+80%,-20%,16V",2000,1016,制一线边仓,23C0900134,1753
1A,0,101-0001,"WB Capacitor,220pF,+80%,-20%,16V",5000,1016,MFG Ⅰ line side,2410800073,1079
1A,0,110-0284,"Thermistors,-40°C～+125°C",2000,1016,制一线边仓,2370100105,2828
1A,0,140-0364,"IC,Quad 25Gb/s TIA & CDR Receiver Array",1000,1016,制一线边仓,2311200076,303
1A,0,140-0364,"IC,Quad 25Gb/s TIA & CDR Receiver Array",1000,1016,制一线边仓,2410100097,4480
1A,0,140-0403,"IC,Quad CDR TIA,25.8G/28G",2000,1016,制一线边仓,2270502366,45
1A,0,140-0547,"IC,Quad 25Gb/s TIA & CDR Receiver Array",1000,1016,制一线边仓,2410900335,180
1A,0,140-0547,"IC,Quad 25Gb/s TIA & CDR Receiver Array",2000,1016,制一线边仓,2413100182,298
1A,0,140-0851,"IC,25Gb/s,Quad-Channel,Vpp<900mV",2000,1016,制一线边仓,2410900337,1238
1A,0,280-0213,aspherical lens,2000,1016,制一线边仓,23A1100180,2273
1B,0,280-0397,"TEC,KCMT022C00(4.1mm/4.8mm)*2.3mm*0.9mm",1000,1016,制一线边仓,2342400142,163
1B,0,280-0397,"TEC,KCMT022C00(4.1mm/4.8mm)*2.3mm*0.9mm",2000,1016,制一线边仓,2342400142,300
1A,0,280-0425,Aspheric Glass Round Bare Lens,2000,1016,制一线边仓,2411200065,9753
1A,0,280-0425,Aspheric Glass Round Bare Lens,2000,1016,制一线边仓,2411200066,4396
1C,0,280-0574,ALN 0.3mm*0.3mm*0.127mmtwo-side plated,1000,1016,制一线边仓,2390300060,783
1C,0,280-0574,ALN 0.3mm*0.3mm*0.127mmtwo-side plated,2000,1016,制一线边仓,2361100183,6156
1A,0,280-0607,"Pin PD,1x4,25Gbps Long Wavelength InGaAs",1000,1016,制一线边仓,2410600270,2268
1A,0,280-0607,"Pin PD,1x4,25Gbps Long Wavelength InGaAs",1000,1016,制一线边仓,2410600272,1704
1A,0,280-0607,"Pin PD,1x4,25Gbps Long Wavelength InGaAs",2000,1016,制一线边仓,2410600272,5427
1A,0,280-0607,"Pin PD,1x4,25Gbps Long Wavelength InGaAs",2000,1016,制一线边仓,2410600273,114
1B,0,280-0696,TIA Submount,2000,1016,制一线边仓,2410100024,373
1A,0,280-0789-10A,"H-R Si,T 500um,Mit_Vgroove 826um",2000,1016,制一线边仓,2382300324,708
1A,0,280-0789-10A,"H-R Si,T 500um,Mit_Vgroove 826um",2000,1016,制一线边仓,2390500049,1805
1A,0,280-0789-10A,"H-R Si,T 500um,Mit_Vgroove 826um",2000,1016,制一线边仓,2410500089,2440
1A,0,280-0789-10B,"H-R Si,T 500um,Mit_Vgroove 802um",2000,1016,制一线边仓,2411300483,8982
1A,0,280-0789-10C,"H-R Si,T 500um,Mit_Vgroove 778um",2000,1016,制一线边仓,2390500049,1538
1A,0,280-0789-10C,"H-R Si,T 500um,Mit_Vgroove 778um",2000,1016,制一线边仓,2410500089,3416
1C,0,280-0810,"CoC submount 9*2.2*0.3mm,AlN",2000,1016,制一线边仓,23C1300091,339
1A,0,280-0837,"TIA submount,AlN,3.7*2.9*0.65mm",2000,1016,制一线边仓,2371800007,29
1B,0,280-0865,"AL2O3 dam,11.5*1*1.5",2000,1016,制一线边仓,2390500279,509
1B,0,280-0898,"Tilt Prism PEI Lens,14.45deg* 4.86 deg",1000,1016,制一线边仓,2391600050,628
1C,0,280-0932,"H-Resistivity Silicon,mitsubishi laser",2000,1016,制一线边仓,2411100199,12886
1C,0,280-0932,"H-Resistivity Silicon,mitsubishi laser",2000,1016,制一线边仓,2411100200,1561
1C,0,280-0932,"H-Resistivity Silicon,mitsubishi laser",2000,1016,制一线边仓,2411800383,14863
1C,0,280-0932,"H-Resistivity Silicon,mitsubishi laser",2000,1016,制一线边仓,2411800384,492
1C,0,280-0932,"H-Resistivity Silicon,mitsubishi laser",2000,1016,制一线边仓,2420300088,13640
1C,0,280-0933,"H-Resistivity Silicon,Oclare laser",2000,1016,制一线边仓,2331500203,1124
,0,280-0981-N0,chip (0-75 deg C),2000,1016,制一线边仓,2262100058,86
1A,0,280-0981-N0,chip (0-75 deg C),2000,1016,制一线边仓,23A0800183,480
1A,0,280-0981-N0,chip (0-75 deg C),2000,1016,制一线边仓,23A1700015,404
1A,0,280-0981-N0,chip (0-75 deg C),2000,1016,制一线边仓,23B0900256,249
1A,0,280-0981-N1,chip (0-75 deg C),2000,1016,制一线边仓,2391500137,397
1A,0,280-0981-N1,chip (0-75 deg C),2000,1016,制一线边仓,2391500138,139
1A,0,280-0981-N1,chip (0-75 deg C),2000,1016,制一线边仓,23A1700017,107
1A,0,280-0981-N2,chip (0-75 deg C),2000,1016,制一线边仓,2310700030,84
1A,0,280-0981-N2,chip (0-75 deg C),2000,1016,制一线边仓,2320700116,159
1A,0,280-0981-N2,chip (0-75 deg C),2000,1016,制一线边仓,2321800019,1970
1A,0,280-0981-N2,chip (0-75 deg C),2000,1016,制一线边仓,2361400176,231
1A,0,280-0981-N2,chip (0-75 deg C),2000,1016,制一线边仓,2381200262,2585
1A,0,280-0981-N2,chip (0-75 deg C),2000,1016,制一线边仓,2381500207,12
1A,0,280-0981-N2,chip (0-75 deg C),2000,1016,制一线边仓,2411200125,548
,0,280-0981-N3,chip (0-75 deg C),2000,1016,制一线边仓,2271300144,501
1B,0,280-0992,"Field lens spacer 2,0.5*0.4*0.245mm",2000,1016,制一线边仓,2411200270,18312
,0,280-1011,"Silicon Field Lens,R0.3,1.75*0.34*0.275",1000,1016,制一线边仓,2023080100,241
,0,280-1011,"Silicon Field Lens,R0.3,1.75*0.34*0.275",1000,1016,制一线边仓,2023083001,216
1B,0,280-1011,"Silicon Field Lens,R0.3,1.75*0.34*0.275",1000,1016,制一线边仓,2370500133,6077
1B,0,280-1011,"Silicon Field Lens,R0.3,1.75*0.34*0.275",2000,1016,制一线边仓,2411300301,3325
1B,0,280-1011,"Silicon Field Lens,R0.3,1.75*0.34*0.275",2000,1016,制一线边仓,2420200963,2420
1B,0,280-1011,"Silicon Field Lens,R0.3,1.75*0.34*0.275",2000,1016,制一线边仓,2420200964,11187
1C,0,280-1049-27,"TX COC Ass-BOM,CWDM4(Oclaro DFB 1270nm)",2000,1016,制一线边仓,P231213539,61
1C,0,280-1049-29,"TX COC Ass-BOM,CWDM4(Oclaro DFB 1290nm)",2000,1016,制一线边仓,P231004872,22
1C,0,280-1049-29,"TX COC Ass-BOM,CWDM4(Oclaro DFB 1290nm)",2000,1016,制一线边仓,P231004873,159
1C,0,280-1049-29,"TX COC Ass-BOM,CWDM4(Oclaro DFB 1290nm)",2000,1016,制一线边仓,P231004874,3
1C,0,280-1049-33,"TX COC Ass-BOM,CWDM4(Oclaro DFB 1330nm)",2000,1016,制一线边仓,P231004884,208
1C,0,280-1049-33,"TX COC Ass-BOM,CWDM4(Oclaro DFB 1330nm)",2000,1016,制一线边仓,P231213540,117
2A,0,280-1133,"OB Ass-BOM,CWDM4 V2.0(Welding version)",2000,1016,制一线边仓,P230630126,43
