Sold to customer,Ship to customer,Name,Country,abbreviate customer code 
0000100023,0000100023,华为技术有限公司,CN,888
0000100023,0000300036,华为技术有限公司,CN,888
0000100042,0000100042,深圳市中兴康讯电子有限公司,CN,828
0000100042,0000300063,深圳市中兴康讯电子有限公司,CN,828
0000100082,0000100082,腾讯科技(深圳)有限公司,CN,898
0000100108,0000100108,明泰电子(常熟)有限公司（juniper）,CN,domestic_others
0000100156,0000100156,苏柏科技有限公司,CN,domestic_others
0000100185,0000100185,深圳融溢科技有限公司,CN,domestic_others
0000100200,0000100200,Ericsson (China) Communications,CN,domestic_others
0000100217,0000100217,新华三信息技术有限公司,CN,858
0000100235,0000100235,浪潮电子信息产业股份有限公司,CN,domestic_others
0000100277,0000100277,湖州百捷科技有限公司,CN,domestic_others
0000100280,0000100280,常州光创通信合伙企业(有限合伙）,CN,domestic_others
0000100281,0000100281,深圳市迅飞凌科技有限公司,CN,domestic_others
0000100300,0000100300,北京字跳网络技术有限公司,CN,domestic_others
0000100329,0000100329,中兴通讯（南京）有限责任公司,CN,828
0000100341,0000100341,深圳市科睿特通信技术有限公司,CN,domestic_others
0000100345,0000100345,百度（中国）有限公司,CN,855
0000100366,0000100366,百度时代网络技术（北京）有限公司,CN,855
0000100373,0000100373,京东云计算有限公司,CN,domestic_others
0000100380,0000100380,百度在线网络技术（北京）有限公司,CN,855
0000100388,0000100388,北京柏实科技有限公司,CN,domestic_others
0000100391,0000100391,阿里云计算有限公司,CN,818
0000100398,0000100398,浙江天猫技术有限公司,CN,818
0000100403,0000100403,度链网络科技（海南）有限公司,CN,domestic_others
0000100407,0000100407,杭州阿里云飞天信息技术有限公司,CN,818
0000100409,0000100409,百度云计算技术（保定徐水）有限公司,CN,855
0000100413,0000100413,山东旭创通信科技有限公司,CN,domestic_others
0000100417,0000100417,北京百度网讯科技有限公司,CN,855
0000200022,0000200022,OptoWiz Co.  Ltd,KR,international_others
0000200022,0000300084,OptoWiz Co.  Ltd,KR,international_others
0000200026,0000200026,FlexOptix GmbH,DE,international_others
0000200026,0000300089,FlexOptix GmbH,DE,international_others
0000200028,0000200028,LucaTech Technology,TW,international_others
0000200028,0000300091,LucaTech Technology,TW,international_others
0000200030,0000200030,Google LLC,US,666
0000200030,0000300093,Google LLC,US,666
0000200030,0000300132,Google LLC,US,666
0000200030,0000300094,Google LLC,US,666
0000200036,0000200036,VITEX,US,international_others
0000200036,0000300100,VITEX,US,international_others
0000200050,0000200050,Arista Networks.Inc.,US,655
0000200050,0000300114,Arista Networks.Inc.,US,655
0000200053,0000200053,Gigamon Inc.,US,international_others
0000200053,0000300117,Gigamon Inc.,US,international_others
