PRODAREA,ROUTE_ID,SEGMENT_ID,SEGMENT_IX,STEP_IX,OPERATION_ID
NULL,ROUTE_dummy,ROUTE_dummy,1,0,OP_dummy
MODULE,ROUTE_Module,ROUTE_Module,1,1,OP_Module_ASSY
MODULE,ROUTE_Module,ROUTE_Module,1,2,OP_Module_ATS
MODULE,ROUTE_Module,ROUTE_Module,1,3,OP_Module_TCT
MODULE,ROUTE_Module,ROUTE_Module,1,4,OP_Module_BI
MODULE,ROUTE_Module,ROUTE_Module,1,5,OP_Module_LINK
MODULE,ROUTE_Module,ROUTE_Module,1,6,OP_Module_OVERLOAD
MODULE,ROUTE_Module,ROUTE_Module,1,7,OP_Module_PrePKG
MODULE,ROUTE_Module,ROUTE_Module,1,8,OP_Module_PostPKG
OPTICAL,ROUTE_OB,ROUTE_OB,1,1,OP_OB_TXAA
OPTICAL,ROUTE_OB,ROUTE_OB,1,2,OP_OB_RXAA
OPTICAL,ROUTE_OB,ROUTE_OB,1,3,OP_OB_TCT
OPTICAL,ROUTE_OB,ROUTE_OB,1,4,OP_OB_TEST
OPTICAL,ROUTE_CB,ROUTE_CB,1,1,OP_CB_ASSY
OPTICAL,ROUTE_CB,ROUTE_CB,1,2,OP_CB_DA
OPTICAL,ROUTE_CB,ROUTE_CB,1,3,OP_CB_TXLENS
OPTICAL,ROUTE_CB,ROUTE_CB,1,4,OP_CB_WB
OPTICAL,ROUTE_CB,ROUTE_CB,1,5,OP_CB_RXLENS
OPTICAL,ROUTE_CB,ROUTE_CB,1,6,OP_CB_TEST
OPTICAL,ROUTE_TX COC,ROUTE_TX_COC,1,1,OP_TXCOC_CRYSTAL
OPTICAL,ROUTE_TX COC,ROUTE_TX_COC,1,2,OP_TXCOC_LASER
OPTICAL,ROUTE_TX COC,ROUTE_TX_COC,1,3,OP_TXCOC_GT
OPTICAL,ROUTE_TX COC,ROUTE_TX_COC,1,4,OP_TXCOC_WB
OPTICAL,ROUTE_TX COC,ROUTE_TX_COC,1,5,OP_TXCOC_BI
OPTICAL,ROUTE_Preform,ROUTE_Preform,1,1,OP_Preform_ASSY
OPTICAL,ROUTE_Preform,ROUTE_Preform,1,2,OP_Preform_TX_LENS
OPTICAL,ROUTE_Preform,ROUTE_Preform,1,3,OP_Preform_RX_LENS
OPTICAL,ROUTE_Preform,ROUTE_Preform,1,4,OP_Preform_TX_CLENS
OPTICAL,ROUTE_Preform,ROUTE_Preform,1,5,OP_Preform_RX_CLENS
OPTICAL,ROUTE_Preform,ROUTE_Preform,1,6,OP_Preform_OB
OPTICAL,ROUTE_Preform,ROUTE_Preform,1,7,OP_Preform_LASER
OPTICAL,ROUTE_LENS,ROUTE_LENS,1,1,OP_dummy
OPTICAL,ROUTE_TX,ROUTE_TX,1,1,OP_dummy
OPTICAL,ROUTE_RX,ROUTE_RX,1,1,OP_dummy
OPTICAL,ROUTE_OE,ROUTE_OE,1,1,OP_dummy
OPTICAL,ROUTE_PCBA,ROUTE_PCBA,1,1,OP_dummy
OPTICAL,ROUTE_subcon,ROUTE_subcon,1,1,OP_dummy
OPTICAL,ROUTE_SUP,ROUTE_SUP,1,1,OP_dummy
OPTICAL,ROUTE_Receptacle,ROUTE_Receptacle,1,1,OP_dummy
