PRODUCT_ID,Revesion level,VENDOR_ID,LOCATION,PREFERENCE/Quota,EFFECTIVE_START,EFFECTIVE_END,LEAD_DAYS_SUPPLY,CYCLE_DAYS_SUPPLY
100-0021,1A,100100,1000,0,2023.01.03,2023.12.31,151,
100-0021,1A,100148,1000,100,2023.01.03,2023.12.31,151,
100-0024,1A,100100,1000,0,2023.01.03,2023.12.31,151,
100-0024,1A,100148,1000,100,2023.01.03,2023.12.31,151,
100-0025,1A,100100,1000,0,2023.01.03,2023.12.31,151,
100-0025,1A,100148,1000,100,2023.01.03,2023.12.31,151,
100-0031,1A,100100,1000,0,2023.01.03,2023.12.31,151,
100-0031,1A,100148,1000,100,2023.01.03,2023.12.31,151,
100-0033,1A,100100,1000,0,2023.01.03,2023.12.31,151,
100-0033,1A,100148,1000,100,2023.01.03,2023.12.31,151,
100-0038,1A,100100,1000,0,2023.01.03,2023.12.31,151,
100-0038,1A,100148,1000,100,2023.01.03,2023.12.31,151,
100-0061,1A,100100,1000,0,2023.01.03,2023.12.31,151,
100-0061,1A,100148,1000,100,2023.01.03,2023.12.31,151,
100-0062,1A,100100,1000,0,2023.01.03,2023.12.31,151,
100-0062,1A,100148,1000,100,2023.01.03,2023.12.31,151,
100-0073,1A,100100,1000,0,2023.01.03,2023.12.31,151,
100-0073,1A,100148,1000,100,2023.01.03,2023.12.31,151,
100-0074,1A,100100,1000,0,2023.01.03,2023.12.31,151,
100-0074,1A,100148,1000,100,2023.01.03,2023.12.31,151,
100-0086,1A,100100,1000,0,2023.01.03,2023.12.31,149,
100-0086,1A,100148,1000,100,2023.01.03,2023.12.31,149,
100-0088,1A,100100,1000,0,2023.01.03,2023.12.31,151,
100-0088,1A,100148,1000,100,2023.01.03,2023.12.31,151,
100-0115,1A,100100,1000,100,2023.01.03,2023.12.31,151,
100-0115,1A,100148,1000,0,2023.01.03,2023.12.31,151,
100-0116,1A,100100,1000,0,2023.01.03,2023.12.31,151,
100-0116,1A,100148,1000,100,2023.01.03,2023.12.31,151,
100-0119,1A,100100,1000,0,2023.01.03,2023.12.31,151,
100-0119,1A,100148,1000,100,2023.01.03,2023.12.31,151,
100-0122,1A,100100,1000,0,2023.01.03,2023.12.31,151,
100-0122,1A,100148,1000,100,2023.01.03,2023.12.31,151,
100-0144,1A,100100,1000,100,2023.01.03,2023.12.31,151,
100-0144,1A,100148,1000,0,2023.01.03,2023.12.31,151,
100-0222,1A,100100,1000,0,2023.01.03,2023.12.31,151,
100-0222,1A,100148,1000,100,2023.01.03,2023.12.31,151,
