Creation_Date,WO,Type,PN,Description,Plant,Quantity_GMEIN,Delivered_Quantity_GMEIN,UOM_GMEIN,Start_Date,Due_Date,Status,输入者,Reserved_Number,Group,Process,Storage,Actual_Assigned_Date,Actual_Finished_Date,Scrap_GMEIN,Actual_Start_Date
7/16/2024,WOOBCA05,XC01,500-4611,"100G CWDM4,0-70C,for ZTE,Weld+Ocl M37244",2000,670,0.000,PC,7/22/2024,8/14/2024,REL  PRC  GMPS MANC SETC,CAIDH,8208647,M51,Module,3019,7/16/2024,,81,
7/16/2024,WOOBCA06,XC01,500-5680,"40G&100G QSFP28 CWDM4 COP,AWS (Ocl DFB)",2000,550,0.000,PC,7/22/2024,8/17/2024,REL  PRC  GMPS MANC SETC,CAIDH,8208648,M51,Module,2019,7/16/2024,,50,
7/16/2024,WOOBCJA106,XC01,280-2019-CD,"PEI Lens&Narrowed Cover Ass,100G Gen3.1",2000,1200,0.000,PC,7/22/2024,7/27/2024,REL  PRC  BCRQ GMPS MANC SETC,CAIDH,8208591,F30,Preform,,7/16/2024,,0.000,
7/16/2024,WOOBCPR106,XC01,280-1909,"RX Receptacle Side Lens&holder,40GLX4 G3",2000,1009,0.000,PC,7/22/2024,7/31/2024,REL  PRC  BCRQ GMPS MANC SETC,CAIDH,8208590,F30,Preform,,7/16/2024,,0.000,
7/16/2024,WOOBCSU106,XC01,280-1595,"OB BOM,COP G3(SEI,2110S,Sif PD,kovar HS)",2000,1000,0.000,PC,7/22/2024,8/2/2024,REL  PRC  BCRQ MANC SETC,CAIDH,8208588,F30,Preform,,7/16/2024,,0.000,
7/16/2024,WOOBCTR106,XC01,280-1908,"TX Receptacle Side Lens&holder,40GLX4 G3",2000,1009,0.000,PC,7/22/2024,7/31/2024,REL  PCNF PRC  BCRQ GMPS MANC SETC,CAIDH,8208589,F30,Preform,,7/16/2024,,0.000,7/16/2024
7/15/2024,DCOBCOB105,XC01,260-0443-CD,"BOSA BOM,LX4,oclaro DFB,2110S,Sif PD",2000,996,0.000,PC,7/21/2024,8/16/2024,REL  PCNF PRC  BCRQ MANC SETC,CAIDH,8197092,F52,OB,,7/15/2024,,80,7/16/2024
7/15/2024,WOOBC27103,XC01,280-1312-27,"TX COC Ass-BOM,CWDM4,Gen3 Mit DFB 1270nm",2000,4400,0.000,PC,7/21/2024,7/31/2024,REL  PCNF PRC  BCRQ GMPS MANC SETC,CAIDH,8196668,F13,TX COC,,7/15/2024,,308,7/16/2024
7/15/2024,WOOBC29103,XC01,280-1312-29,"TX COC Ass-BOM,CWDM4,Gen3 Mit DFB 1290nm",2000,3500,0.000,PC,7/21/2024,7/31/2024,REL  PCNF PRC  BCRQ GMPS MANC SETC,CAIDH,8196669,F13,TX COC,,7/15/2024,,245,7/15/2024
7/15/2024,WOOBC31103,XC01,280-1312-31,"TX COC Ass-BOM,CWDM4,Gen3 Mit DFB 1310nm",2000,2000,0.000,PC,7/21/2024,7/31/2024,REL  PCNF PRC  BCRQ GMPS MANC SETC,CAIDH,8196670,F13,TX COC,,7/15/2024,,140,7/15/2024
7/15/2024,WOOBC33103,XC01,280-1312-33,"TX COC Ass-BOM,CWDM4,Gen3 Mit DFB 1330nm",2000,2700,0.000,PC,7/21/2024,7/31/2024,REL  PCNF PRC  BCRQ GMPS MANC SETC,CAIDH,8196672,F13,TX COC,,7/15/2024,,189,7/15/2024
7/15/2024,WOOBCA01,XC01,500-5680,"40G&100G QSFP28 CWDM4 COP,AWS (Ocl DFB)",2000,550,0.000,PC,7/21/2024,8/16/2024,REL  PRC  GMPS MANC SETC,CAIDH,8196360,M51,Module,2019,7/15/2024,,50,
7/15/2024,WOOBCA02,XC01,500-4752,"QSFP+ LR4 V3.0 Ocl,GCS)HT(34060645-002)",2000,900,0.000,PC,7/21/2024,8/16/2024,REL  PRC  GMPS MANC SETC,CAIDH,8196361,F35,Module,3019,7/15/2024,,135,
7/15/2024,WOOBCCB103,XC01,280-1806,"CB BOM,QSFP28 COP V2.0,Weld(Gen3 Mit)",2000,4000,0.000,PC,7/21/2024,8/19/2024,REL  PCNF PRC  BCRQ GMPS MANC SETC,CAIDH,8196673,F13,CB,,7/15/2024,,64,7/15/2024
7/15/2024,WOOBCJA101,XC01,280-2019-CD,"PEI Lens&Narrowed Cover Ass,100G Gen3.1",2000,1200,0.000,PC,7/21/2024,7/26/2024,REL  PCNF PRC  BCRQ GMPS MANC SETC,CAIDH,8196350,F30,Preform,,7/15/2024,,0.000,7/15/2024
7/15/2024,WOOBCOB101,XC01,260-0199,"BOSA Ass-BOM,CWDM4 V2.0(Gen3 Mit DFB)",2000,3000,0.000,PC,7/21/2024,8/16/2024,REL  PCNF PRC  BCRQ GMPS MANC SETC,CAIDH,8196310,F13,OB,,7/15/2024,,120,7/15/2024
7/13/2024,WOOBBA28,XC01,500-7041,"100G QSFP28 CWDM4 Gen3 1310nm,2Km HT",2000,1000,0.000,PC,7/15/2024,8/11/2024,REL  PCNF PRC  GMPS MANC SETC,CHENXL,8172719,F30,Module,3019,7/13/2024,,80,7/15/2024
7/13/2024,WOOBBA29,XC01,500-5680,"40G&100G QSFP28 CWDM4 COP,AWS (Ocl DFB)",2000,550,0.000,PC,7/15/2024,8/11/2024,REL  PRC  GMPS MANC SETC,CHENXL,8172720,M51,Module,2019,7/13/2024,,50,
7/12/2024,DCOBB27123,XC01,263-0077-27-CD,"TX COC BOM,Q28 C4 (oclaro 1270nm)",2000,2050,0.000,PC,7/18/2024,7/28/2024,REL  PCNF PRC  BCRQ GMPS MANC SETC,CAIDH,8160090,F52,TX COC,,7/12/2024,,165,7/13/2024
7/12/2024,DCOBB29123,XC01,263-0077-29-CD,"TX COC BOM,Q28 C4 (oclaro 1290nm)",2000,2088,0.000,PC,7/18/2024,7/28/2024,REL  PCNF PRC  BCRQ GMPS MANC SETC,CAIDH,8160091,F52,TX COC,,7/12/2024,,168,7/13/2024
7/12/2024,DCOBB31123,XC01,263-0077-31-CD,"TX COC BOM,Q28 C4 (oclaro 1310nm)",2000,2000,0.000,PC,7/18/2024,7/28/2024,REL  PCNF PRC  BCRQ GMPS MANC SETC,CAIDH,8160092,F52,TX COC,,7/12/2024,,160,7/13/2024
7/12/2024,DCOBB33123,XC01,263-0077-33-CD,"TX COC BOM,Q28 C4 (oclaro 1330nm)",2000,2400,0.000,PC,7/18/2024,7/28/2024,REL  PCNF PRC  BCRQ GMPS MANC SETC,CAIDH,8160093,F52,TX COC,,7/12/2024,,193,7/13/2024
7/12/2024,WOOBBA23,XC01,500-5680,"40G&100G QSFP28 CWDM4 COP,AWS (Ocl DFB)",2000,550,0.000,PC,7/18/2024,8/13/2024,REL  PCNF PRC  GMPS MANC SETC,CAIDH,8160076,M51,Module,2019,7/12/2024,,50,7/15/2024
7/12/2024,WOOBBA24,XC01,500-7041,"100G QSFP28 CWDM4 Gen3 1310nm,2Km HT",2000,950,0.000,PC,7/18/2024,8/13/2024,REL  PCNF PRC  GMPS MANC SETC,CAIDH,8160077,F30,Module,3019,7/12/2024,,76,7/14/2024
7/12/2024,WOOBBA25,XC01,561-0081,"100G Q28 CGR4 Gen3,Google(Ocl),from TW",6000,1400,0.000,PC,7/18/2024,8/16/2024,REL  PRC  GMPS MANC SETC,CAIDH,8161234,M09,Module,2019,7/12/2024,,140,
7/12/2024,WOOBBJA122,XC01,280-2019-CD,"PEI Lens&Narrowed Cover Ass,100G Gen3.1",2000,1200,0.000,PC,7/19/2024,7/24/2024,REL  PCNF PRC  BCRQ GMPS MANC SETC,CAIDH,8160073,F30,Preform,,7/12/2024,,0.000,7/13/2024
7/12/2024,WOOBBPR122,XC01,280-1909,"RX Receptacle Side Lens&holder,40GLX4 G3",2000,1009,0.000,PC,7/19/2024,7/28/2024,REL  PCNF PRC  BCRQ GMPS MANC SETC,CAIDH,8160072,F30,Preform,,7/12/2024,,0.000,7/15/2024
7/12/2024,WOOBBSU122,XC01,280-1595,"OB BOM,COP G3(SEI,2110S,Sif PD,kovar HS)",2000,1000,0.000,PC,7/19/2024,7/30/2024,REL  PRC  BCRQ GMPS MANC SETC,CAIDH,8160070,F30,Preform,,7/12/2024,,0.000,
7/12/2024,WOOBBTR122,XC01,280-1908,"TX Receptacle Side Lens&holder,40GLX4 G3",2000,1009,0.000,PC,7/19/2024,7/28/2024,REL  PCNF PRC  BCRQ GMPS MANC SETC,CAIDH,8160071,F30,Preform,,7/12/2024,,0.000,7/15/2024
7/11/2024,WOOBB27121,XC01,280-1049-27,"TX COC Ass-BOM,CWDM4(Oclaro DFB 1270nm)",2000,3000,0.000,PC,7/17/2024,7/27/2024,REL  PCNF PRC  BCRQ GMPS MANC SETC,CAIDH,8148260,F13,TX COC,,7/11/2024,,210,7/12/2024
7/11/2024,WOOBB29121,XC01,280-1049-29,"TX COC Ass-BOM,CWDM4(Oclaro DFB 1290nm)",2000,3500,0.000,PC,7/17/2024,7/27/2024,REL  PCNF PRC  BCRQ GMPS MANC SETC,CAIDH,8148261,F13,TX COC,,7/11/2024,,245,7/12/2024
